ID,Repositorium,Vorname Autor,Nachname Autor,Nationalität,Pseudonym/Anderer Name,Gesamtname Autor,Geburtsjahr,Sterbejahr,Autor:innengender,Titel,Dateiname,verwendetes Datum,Wörter,Typen,norm_year,Tier,Pflanze,Lebensraum,Gesamt,Dichte
1,gutenberg,Louise,Anklam,Deutschland,,Louise Anklam,,,female,Der wilde Arno,Anklam_Louise_Kindergeschichten_Der_wilde_Arno,1898,3895,1325,1898,9,24,12,45,"0,01155327343"
2,gutenberg,Marie,Bernhard,Deutschland,Bernhard Frey,Marie Bernhard,1852,1937,female,Heimatluft,Bernhard_Marie_Heimatluft,1905,17902,4522,1905,22,102,101,225,"0,01256842811"
3,gutenberg,Ida,Bindschedler,Schweiz,,Ida Bindschedler,1854,1919,female,Die Turnachkinder im Sommer,Bindschedler_Ida_Die_Turnachkinder_im_Sommer,1906,62232,7351,1906,464,412,499,1375,"0,02209474225"
4,gutenberg,Ida,Bindschedler,Schweiz,,Ida Bindschedler,1854,1919,female,Die Turnachkinder im Winter,Bindschedler_Ida_Die_Turnachkinder_im_Winter,1909,58220,7659,1909,443,192,189,824,"0,01415321195"
5,gutenberg,Helene,Böhlau,Deutschland,Helene al Raschid Bey,Helene Böhlau,1856,1940,female,Das ehrbußliche Weiblein,Boehlau_Helene_Altweimarische_Liebesgeschichten_Das_ehrbussliche_Weiblein,1897,9266,2275,1897,39,16,16,71,"0,007662421757"
6,gutenberg,Helene,Böhlau,Deutschland,Helene al Raschid Bey,Helene Böhlau,1856,1940,female,Im alten Rödchen zu Weimar,Boehlau_Helene_Altweimarische_Liebesgeschichten_Im_alten_Roedchen,1897,26971,5184,1897,141,121,115,377,"0,01397797634"
7,gutenberg,Helene,Böhlau,Deutschland,Helene al Raschid Bey,Helene Böhlau,1856,1940,female,Ein Sommerbuch,Boehlau_Helene_Ein_Sommerbuch,1910,60163,9015,1910,176,295,330,801,"0,01331383076"
8,textgrid,Luise,Büchner,Deutschland,,Luise Büchner,1821,1877,female,Der kleine Vagabund,Buechner_Luise_Der_kleine_Vagabund,1877,10084,2742,1877,32,37,59,128,"0,01269337564"
9,textgrid,Luise,Büchner,Deutschland,,Luise Büchner,1821,1877,female,Die Fee von Argouges,Buechner_Luise_Die_Fee_von_Argouges,1878,2264,955,1878,9,15,22,46,"0,0203180212"
10,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Als er heimkehrte,Christen_Ada_Als_er_heimkehrte,1884,6529,1934,1884,31,15,10,56,"0,008577117476"
11,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Der einsame Spatz,Christen_Ada_Der_einsame_Spatz,1884,3722,1431,1884,29,9,12,50,"0,01343363783"
12,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Käthes Federhut,Christen_Ada_Kaethes_Federhut,1876,3754,1190,1876,33,4,9,46,"0,01225359616"
13,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Nachbar Krippelmacher,Christen_Ada_Nachbar_Krippelmacher,1884,2934,1154,1884,10,10,8,28,"0,009543285617"
14,DTA,Juliane,Déry,Ungarn/Österreich/Deutschland,"Juliane Deutsch, Juliane Decsy",Juliane Déry,1864,1899,female,Selige Liebe,Dery_Juliane_Selige_Liebe,1892,3580,1392,1892,12,43,36,91,"0,02541899441"
15,gutenberg,Jenny,Dirnböck-Schulz,Tschechien,,Jenny Dirnböck-Schulz,1850,1918,female,Aus Mizi's Memoiren,Dirnboeck-Schulz_Jenny_Aus_Mizis_Memoiren,1895,1726,743,1895,9,17,19,45,"0,02607184241"
16,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,"Werde, die Du bist!",Dohm_Hedwig_Werde,1894,20012,4596,1894,59,138,166,363,"0,01813911653"
17,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Altmodische Leute,Frapan_Ilse_Altmodische_Leute,1890,11111,3064,1890,34,48,30,112,"0,0100801008"
18,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,»Uns' Ida«,Frapan_Ilse_Uns_Ida,1890,4088,1383,1890,27,7,12,46,"0,01125244618"
19,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Ameise,Frapan_Ilse_Was_der_Alltag_dichtet_Ameise,1899,7205,2346,1899,52,4,14,70,"0,009715475364"
20,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Dort oben,Frapan_Ilse_Was_der_Alltag_dichtet_Dort_oben,1899,10574,2395,1899,19,41,21,81,"0,007660298846"
21,gutenberg,Agnes,Günther,Deutschland,Agnes Breuning,Agnes Günther,1863,1911,female,Die Heilige und ihr Narr,Guenther_Agnes_Die_Heilige,1913,223793,19234,1913,597,1685,930,3212,"0,01435254901"
22,gutenberg,Agnes,Harder,Deutschland,,Agnes Harder,1864,1939,female,Schlumski,Harder_Agnes_Schlumski,1916,33479,5157,1916,540,132,100,772,"0,02305923116"
23,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Großmutters Kathrin,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Grossmutters_Kathrin,1904,10331,2851,1904,27,14,37,78,"0,007550091956"
24,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Maiblumen,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Maiblumen,1904,5751,1921,1904,12,54,26,92,"0,01599721788"
25,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Originale,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Originale,1904,14982,4352,1904,53,78,62,193,"0,01288212522"
26,textgrid,Maria,Janitschek,Deutschland,Maria Tölk,Maria Janitschek,1859,1927,female,Das kleine Hündchen,Janitschek_Maria_Das_kleine_Huendchen,1897,3940,1451,1897,30,5,20,55,"0,01395939086"
27,textgrid,Maria,Janitschek,Deutschland,Maria Tölk,Maria Janitschek,1859,1927,female,Kind Gottes,Janitschek_Maria_Kind_Gottes,1897,1991,798,1897,7,5,19,31,"0,01557006529"
28,textgrid,Maria,Janitschek,Deutschland,Maria Tölk,Maria Janitschek,1859,1927,female,Klare Rechnung,Janitschek_Maria_Klare_Rechnung,1897,7196,2322,1897,21,25,52,98,"0,01361867704"
29,gutenberg,Alma Johanna,Koenig,Österreich,Johannes Herdan,Alma Johanna Koenig,1887,1942,female,Schibes,Koenig_Alma_Johanna_Schibes,1920,12757,2783,1920,124,18,20,162,"0,0126989104"
30,gutenberg,Charlotte,Niese,Deutschland,,Charlotte Niese,1854,1935,female,Aus dänischer Zeit,Niese_Charlotte_Aus_daenischer_Zeit,1892-1894,88030,10759,1892,343,131,224,698,"0,007929115074"
31,gutenberg,Charlotte,Niese,Deutschland,,Charlotte Niese,1854,1935,female,Der verrückte Flinsheim,Niese_Charlotte_Der_verrueckte_Flinsheim,1914,12200,2820,1914,18,17,29,64,"0,005245901639"
32,gutenberg,Charlotte,Niese,Deutschland,,Charlotte Niese,1854,1935,female,Die falschen Weihnachtsbäume,Niese_Charlotte_Die_falschen_Weihnachtsbaeume,1920,5773,1517,1920,17,67,32,116,"0,02009353889"
33,gutenberg,Charlotte,Niese,Deutschland,,Charlotte Niese,1854,1935,female,Corisande,Niese_Charlotte_Geschichten_aus_Corisande_Corisande,1896,7025,1779,1896,7,29,13,49,"0,006975088968"
